Q,Region,CBA_2016-01,CBT_2016-01,index,CBA_ARScorr,CBT_ARScorr,CBA_2022-12,CBT_2022-12
2014-02-15,noroeste,1197.4449498245592,2708.834587450183,59.826110902567486,716,1621,17898,40488
2014-02-15,pampeana,1366.1084763454912,3328.815534019302,59.826110902567486,817,1992,20419,49754
2014-02-15,patagonia,1422.3866776697025,3935.376729360791,59.826110902567486,851,2354,21260,58820
2014-05-15,cuyo,1227.3627684117912,3184.7771977502325,65.46996049345411,804,2085,18345,47601
2014-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,65.46996049345411,902,2200,20604,50217
2014-05-15,noreste,1232.130273205757,2811.8558949373987,65.46996049345411,807,1841,18416,42027
2014-05-15,noroeste,1197.4449498245592,2708.834587450183,65.46996049345411,784,1773,17898,40488
2014-05-15,pampeana,1366.1084763454912,3328.815534019302,65.46996049345411,894,2179,20419,49754
2014-05-15,patagonia,1422.3866776697025,3935.376729360791,65.46996049345411,931,2576,21260,58820
2014-08-15,cuyo,1227.3627684117912,3184.7771977502325,69.8104063627916,857,2223,18345,47601
2014-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,69.8104063627916,962,2345,20604,50217
2014-08-15,noreste,1232.130273205757,2811.8558949373987,69.8104063627916,860,1963,18416,42027
2014-08-15,noroeste,1197.4449498245592,2708.834587450183,69.8104063627916,836,1891,17898,40488
